act_id,issue_date,voting_date
"3237-1","2013-04-23","2013-05-13"
"3244-1","2013-05-23","2013-06-06"
"3244-2","2013-01-09","2013-06-06"
"3243-2","2013-01-14","2013-06-06"
"3243-5","2013-06-12","2013-06-06"
"3243-6","2013-01-15","2013-06-06"
"3247-5","2013-01-20","2013-06-20"
"3247-7","2013-06-14","2013-06-20"
"3247-4","2013-06-26","2013-06-20"
"3234-1","2013-04-03","2013-04-22"
"3258-1","2013-10-09","2013-09-26"
"3258-2","2013-09-20","2013-09-27"
"3260-2","2013-10-22","2013-10-07"
"3260-4","2013-10-22","2013-10-07"
"3261-1","2013-10-04","2013-10-10"
"3264-1","2013-09-19","2013-10-15"
"3264-2","2013-09-23","2013-10-15"
"3268","2013-10-11","2013-10-22"
"3271-05","2013-11-07","2013-11-15"
"3271-06","2013-11-06","2013-11-15"
"3271-12","2013-03-06","2013-11-15"
"3271-03","2013-11-06","2013-11-15"
"3271-04","2013-11-07","2013-11-15"
"3276-1","1970-01-01","2013-12-02"
"3276-2","2013-11-22","2013-12-03"
"3276-3","2013-11-22","2013-12-03"
"3276-5","2013-11-22","2013-12-03"
"3276-7","2013-11-22","2013-12-03"
"3278-01","2013-12-11","2013-12-05"
"3278-03","2013-11-22","2013-12-05"
"3278-04","2013-11-22","2013-12-05"
"3278-07","2013-11-22","2013-12-05"
"3278-08","2013-11-22","2013-12-05"
"3278-09","2013-11-22","2013-12-05"
"3278-10","2013-11-22","2013-12-05"
"3278-11","2013-11-26","2013-12-05"
"3278-12","2013-04-12","2013-12-05"
"3278-13","2013-11-22","2013-12-05"
"3278-14","2013-12-11","2013-12-05"
"3278-15","2013-11-22","2013-12-05"
"3285-01","2013-03-25","2013-12-16"
"3285-02","2013-12-09","2013-12-16"
"3285-03","2013-12-09","2013-12-16"
"3285-04","2013-12-09","2013-12-16"
"3285-05","2013-12-09","2013-12-16"
"3285-07","2013-05-14","2013-12-16"
"3285-08","2013-12-09","2013-12-16"
"3285-09","2013-12-09","2013-12-16"
"3285-10","2013-12-09","2013-12-16"
"3285-11","2013-04-28","2013-12-16"
"3285-13","2013-12-12","2013-12-16"
"3285-14","2013-04-25","2013-12-16"
"3285-15","2013-04-23","2013-12-16"
"3285-16","2013-12-12","2013-12-16"
"3285-17","2013-12-09","2013-12-16"
"3287-3","2013-12-12","2013-12-17"
"3287-6","2013-12-11","2013-12-17"
"3292-3","2014-01-30","2014-02-11"
"3292-2","2014-01-22","2014-02-11"
"3292-1","2014-02-26","2014-02-11"
"3293-1","2013-06-28","2014-02-17"
"3293-2","2013-04-20","2014-02-17"
"3293-3","2013-05-14","2014-02-17"
"3294","2014-02-06","2014-02-18"
"3295-02","2013-06-12","2014-02-20"
"3295-04","2014-02-12","2014-02-20"
"3295-05","1970-01-01","2014-02-20"
"3301-01","2014-02-27","2014-03-10"
"3301-02","2014-02-28","2014-03-10"
"3301-03","2014-02-28","2014-03-10"
"3302-05","2014-02-27","2014-03-11"
"3302-06","2014-03-07","2014-03-11"
"3302-07","2014-03-07","2014-03-11"
"3302-08","2014-02-27","2014-03-11"
"3302-09","2013-05-31","2014-03-11"
"3302-10","2013-05-31","2014-03-11"
"3302-11","2014-03-07","2014-03-11"
"3302-12","2014-03-11","2014-03-11"
"3302-01","2014-03-11","2014-03-11"
"3302-02","2014-02-28","2014-03-11"
"3302-13","2014-02-28","2014-03-11"
"3303-01","2014-03-05","2014-03-14"
"3303-05","2014-04-03","2014-03-14"
"3306","2014-03-06","2014-03-18"
"3307-06","2014-04-03","2014-03-24"
"3307-07","2014-03-14","2014-03-24"
"3307-08","2014-03-21","2014-03-24"
"3285-01a","2013-12-09","2013-12-16"
"3308-01","2014-03-18","2014-04-14"
"3308-02","2014-03-18","2014-04-14"
"3308-03","2014-03-19","2014-04-14"
"3308-04","2013-07-05","2014-04-14"
"3308-07","2014-01-09","2014-04-14"
"3308-09","2014-03-26","2014-04-14"
"3308-12","2014-01-08","2014-04-14"
"3309-01","2014-04-04","2014-04-14"
"3308-14","2013-01-07","2014-04-14"
"3308-16","2014-04-04","2014-04-14"
"3308-17","2014-04-16","2014-04-14"
"3308-18","2014-04-16","2014-04-14"
"3309-04","2014-04-02","2014-04-14"
"3309-05","2014-04-04","2014-04-14"
"3309-06","2014-04-02","2014-04-14"
"3309-07","2014-04-02","2014-04-14"
"3309-08","2014-04-04","2014-04-14"
"3278-02","2013-11-22","2013-12-05"
"3310-01","2014-04-24","2014-05-06"
"3310-03","2014-05-15","2014-05-06"
"3310-05","2014-04-25","2014-05-06"
"3310-07","2014-05-15","2014-05-06"
"3310-08","2014-04-24","2014-05-06"
"3310-11","2014-03-27","2014-05-06"
"3310-13","2014-05-15","2014-05-06"
"3344-02","2014-04-03","2014-11-10"
"3371-1","2014-04-30","2015-03-02"
"3371-2","2014-04-30","2015-03-02"
"3371-3","2015-02-18","2015-03-02"
"3371-4","2015-02-18","2015-03-02"
"3371-5","2015-02-18","2015-03-02"
"3122-7","2011-11-16","2011-11-08"
"3122-8","2011-11-16","2011-11-08"
"3122-9","2011-11-16","2011-11-08"
"3122-910","2011-11-16","2011-11-08"
"3122-911","2011-10-28","2011-11-08"
"3127-3","2011-12-13","2011-11-24"
"3127-5","1970-01-01","2011-11-24"
"3128-1","1970-01-01","2011-11-28"
"3128-2","2011-08-01","2011-11-28"
"3128-3","2011-08-08","2011-11-28"
"3128-4","2011-10-31","2011-11-28"
"3131-1","1970-01-01","2011-12-01"
"3134-1","2011-12-06","2011-12-12"
"3134-2","2011-12-05","2011-12-12"
"3134-3","2011-12-05","2011-12-12"
"3134-4","2011-12-05","2011-12-12"
"3137-2","2011-12-19","2011-12-15"
"3005-1","1970-01-01","2010-03-22"
"3010-1","1970-01-01","2010-04-26"
"3010-2","1970-01-01","2010-04-26"
"3017-2","1970-01-01","2010-05-31"
"3018-1","1970-01-01","2010-06-03"
"3025-1","1970-01-01","2010-06-29"
"3025-2","1970-01-01","2010-06-29"
"3032-7","1970-01-01","2010-09-13"
"3032-8","1970-01-01","2010-09-13"
"3032-9","1970-01-01","2010-09-13"
"3034-2","2010-09-21","2010-10-07"
"3035-4","1970-01-01","2010-10-11"
"3035-6","1970-01-01","2010-10-11"
"3035-7","2011-11-25","2010-10-11"
"3035-8","1970-01-01","2010-10-11"
"3043-2","2010-11-24","2010-11-08"
"3045-1","2010-10-28","2010-11-17"
"3045-2","2010-11-24","2010-11-17"
"3045-3","2010-11-03","2010-11-17"
"3045-4","2010-11-03","2010-11-17"
"3045-5","1970-01-01","2010-11-17"
"3045-7","2010-11-24","2010-11-17"
"3045-8","2010-11-24","2010-11-17"
"3045-9","2010-11-09","2010-11-17"
"3049-1","2010-11-19","2010-11-25"
"3050-1","2010-11-22","2010-11-29"
"3050-3","2010-12-22","2010-11-29"
"3050-4","2010-12-15","2010-11-29"
"3053-1","2010-12-15","2010-12-06"
"3053-2","2010-12-15","2010-12-06"
"3057-1","2010-11-30","2010-12-10"
"3057-2","2010-12-15","2010-12-10"
"3057-3","2010-11-29","2010-12-10"
"3061-1","2010-12-17","2010-12-20"
"3139-1","2011-12-09","2011-12-19"
"3140-2","2011-09-05","2012-01-23"
"3093-5","2011-05-03","2011-05-27"
"3108-6a","2011-07-06","2011-07-19"
"3108-6b","2011-07-06","2011-07-19"
"3108-6c","2011-07-06","2011-07-19"
"3108-6d","2011-07-06","2011-07-19"
"3144-1","2012-01-25","2012-02-10"
"3144-2","2012-01-25","2012-02-10"
"3148-1","2011-09-07","2012-02-21"
"3150-1","2012-02-17","2012-02-28"
"3150-2","2012-02-21","2012-02-28"
"3151-1","2012-03-14","2012-03-08"
"3156-1","2012-03-13","2012-03-22"
"3156-2","2012-01-09","2012-03-22"
"3161-1","2012-03-19","2012-04-26"
"3163-1","2012-04-17","2012-05-02"
"3164-1","2012-02-29","2012-05-10"
"3164-3","2012-01-30","2012-05-10"
"3164-4","2012-01-26","2012-05-10"
"3169-1","2012-06-13","2012-05-30"
"3169-2","2012-06-13","2012-05-30"
"3169-3","2012-06-13","2012-05-30"
"3172-2","2012-01-30","2012-06-07"
"3172-3","2012-06-13","2012-06-07"
"3173-1","2012-01-30","2012-06-11"
"3180-2","1970-01-01","2012-06-26"
"3180-1","2012-01-26","2012-06-26"
"3181-1","2012-07-11","2012-07-10"
"3181-2","2012-07-11","2012-07-10"
"3184/1","1970-01-01","2012-07-24"
"3186-1","2012-10-25","2012-09-24"
"3188-1","2012-09-20","2012-10-04"
"3188-3","1970-01-01","2012-10-04"
"3188-6","1970-01-01","2012-10-04"
"3188-9","2012-10-25","2012-10-04"
"3188-911","2012-10-25","2012-10-04"
"3188-912","2012-10-25","2012-10-04"
"3188-914","2012-10-25","2012-10-04"
"3195","1970-01-01","2012-10-25"
"3198-1","1970-01-01","2012-11-13"
"3198-4","2012-11-21","2012-11-13"
"3204-1","2012-11-23","2012-12-03"
"3204-2","2012-11-26","2012-12-03"
"3310-18","2014-04-22","2014-05-06"
"3310-19","2014-05-15","2014-05-06"
"3311-01","2014-05-15","2014-05-08"
"3311-02","2014-05-15","2014-05-08"
"3311-03","2014-04-23","2014-05-08"
"3311-04","2014-05-15","2014-05-08"
"3311-05","2014-04-25","2014-05-08"
"3311-09","2014-05-15","2014-05-08"
"3311-10","2014-04-24","2014-05-08"
"3313-01","2014-05-15","2014-05-13"
"3313-04","2014-05-15","2014-05-13"
"3313-05","2014-05-15","2014-05-13"
"3313-06","2014-04-28","2014-05-13"
"3317-02","2014-02-12","2014-05-26"
"3328-02","2014-04-02","2014-07-14"
"3331-01","2014-07-23","2014-07-23"
"3331-04","2014-07-16","2014-07-23"
"3331-06","2014-07-16","2014-07-23"
"3331-07","2014-07-16","2014-07-23"
"3380-01","2013-03-18","2015-03-17"
"3381-02","2015-01-09","2015-04-20"
"3381-03","2015-03-20","2015-04-20"
"3381-04","2015-06-17","2015-04-20"
"3381-05","2015-04-14","2015-04-20"
"3381-06","1970-01-01","2015-04-20"
"3381-07","2015-01-13","2015-04-20"
"3381-08","1970-01-01","2015-04-20"
"3381-09","2015-04-21","2015-04-20"
"3383-01","2015-02-02","2015-04-21"
"3386-1","2015-04-30","2015-05-11"
"3386-2","2013-11-29","2015-05-11"
"3390-01","2015-05-20","2015-05-19"
"3392-01","2015-05-13","2015-05-28"
"3392-02","2015-05-13","2015-05-28"
"3392-03","2015-06-09","2015-05-28"
"3392-04","2015-06-09","2015-05-28"
"3392-05","2015-03-17","2015-05-28"
"3392-06","2015-05-12","2015-05-28"
"3395-02","2015-07-08","2015-06-15"
"3409-04","2015-07-15","2015-09-18"
"3410-02","2015-09-16","2015-10-01"
"3415-01","2015-10-07","2015-10-08"
"3418-01","2015-10-21","2015-10-22"
"3425-01","2015-11-03","2015-11-16"
"3425-02","2015-11-05","2015-11-16"
"3425-05","2015-11-05","2015-11-16"
"3425-04","2015-11-05","2015-11-16"
"3433-01","2015-11-18","2015-12-03"
"3433-02","2015-11-18","2015-12-03"
"3437-03","2015-12-02","2015-12-14"
"3437-04","2015-12-02","2015-12-14"
"3437-05","2015-12-02","2015-12-14"
"3442-01","2015-07-16","2016-01-15"
"3442-02","2016-01-06","2016-01-15"
"3445-02","2016-01-27","2016-02-12"
"3445-04","2016-01-28","2016-02-12"
"3445-03","2016-01-28","2016-02-12"
"3451-01","2016-02-12","2016-02-29"
"3451-02","2016-02-10","2016-02-29"
"3451-03","2016-02-10","2016-02-29"
"3455-01","2016-02-26","2016-03-10"
"3458-01","2016-03-02","2016-03-15"
"3080-2","2011-03-28","2011-03-31"
"3096-1","2011-06-08","2011-06-09"
"3104","2011-06-21","2011-06-28"
"3108-2","1970-01-01","2011-07-19"
"3108-7","2011-07-13","2011-07-19"
"3111-1","2011-10-25","2011-09-23"
"3118-2","2011-07-01","2011-10-10"
"3122-3","2011-11-16","2011-11-08"
"3000-2","2010-02-09","2010-03-08"
"3000-3","1970-01-01","2010-03-08"
"3010-3","1970-01-01","2010-04-26"
"3024-2","2010-06-17","2010-06-24"
"3026-1","2010-07-07","2010-06-29"
"3225-5","2013-02-14","2013-02-25"
"3225-6","2013-02-14","2013-02-25"
"3231","2012-06-13","2013-03-11"
"3234-2","2013-04-03","2013-04-22"
"3234-6","2013-01-15","2013-04-22"
"3239-2","2013-05-03","2013-05-16"
"3252-1","2013-02-11","2013-07-09"
"3260-3","2013-10-22","2013-10-07"
"3271-13 ","1970-01-01","2013-11-15"
"3275","2013-11-18","2013-11-25"
"3276-4","2013-11-22","2013-12-03"
"3276-6","2013-11-22","2013-12-03"
"3278-06","2013-11-29","2013-12-05"
"3285-06","2013-04-25","2013-12-16"
"3285-12","2013-12-09","2013-12-16"
"3287-5","2013-12-13","2013-12-17"
"3295-01","2014-02-07","2014-02-20"
"3295-16","2014-02-12","2014-02-20"
"3302-04","2014-03-04","2014-03-11"
"3302-03","2014-03-04","2014-03-11"
"3309-02","2014-02-20","2014-04-14"
"3308-15","2014-04-16","2014-04-14"
"3309-03","1970-01-01","2014-04-14"
"3310-02","2014-05-15","2014-05-06"
"3310-04","2014-05-15","2014-05-06"
"3310-06","2014-04-07","2014-05-06"
"3310-14","2014-05-15","2014-05-06"
"3310-15","2014-05-15","2014-05-06"
"3310-16","2014-04-29","2014-05-06"
"3310-17","2014-04-24","2014-05-06"
"3311-08","2014-05-15","2014-05-08"
"3311-12","2014-04-25","2014-05-08"
"3317-01","2014-02-12","2014-05-26"
"3320-01","2014-06-02","2014-06-12"
"3320-02","2014-06-02","2014-06-12"
"3320-03","2014-06-02","2014-06-12"
"3363-01","2014-12-15","2014-12-17"
"3380-02","2013-11-12","2015-03-17"
"3409-02","2015-07-16","2015-09-18"
"3428-1","2015-11-13","2015-11-23"
"3449-01","2016-02-12","2016-02-24"
"3035-3","1970-01-01","2010-10-11"
"3139-2","2011-12-09","2011-12-19"
"3139-3","2011-12-09","2011-12-19"
"3180-4","2012-07-04","2012-06-26"
"3187-2","2012-08-24","2012-09-24"
"3188-2","2012-10-25","2012-10-04"
"3198-3","2012-11-21","2012-11-13"
"3198-5","2012-10-31","2012-11-13"
"3198-6","2012-10-31","2012-11-13"
